Name,Category,Review
Sunfeast Biscuit,Grocery,Taste is good and cream is also very sweet.
Detergent,Grocery,It worked very well. Would recommend to anyone.
Tata Tea Premium | Desh Ki Chai | Unique Blend Crafted For Chai Lovers Across India | Black Tea |,Grocery,Tata tea premium is the best of all. The product was a fresh packaging.
"Maggi 2-Minute Noodles Masala, 70g",Grocery,"The packaging was perfect. As maggie can be cook in various ways and you can enjoy it in immense taste, the packet has a recipe of different style maggie."
Happilo 100% Natural Premium Whole Cashews,Grocery,The cashew have wax/gum coating. Not visible when it is dry. When you soak the cashew it gets slimy and disgusting to eat.
Quaker Oats 2kg | Rolled Oats | 100% Natural Wholegrain |this is the best quality ,Grocery,Good Quality Oats.
Naturevibe Botanicals Organic Cinnamon Powder ,Grocery,Worst product. Not able to drink this
Kokos Natural Natir l Beetroot Powder,Grocery,Very good...food grade...no preservatives/flavors.. 100%natural..smells natural...fine powder.
"Tata Salt, Vacuum Evaporated Iodised",Grocery,Prompt delivery abd product quality is good
"Everest Powder, Kashmirilal Brilliant Red Chilli Powder,",Grocery,It has a strong red colour which looks like totally red colour and the taste is not good it doesn't give a flavour of chilli without bring speicy
Samsung A50,Gadget,Excellent phone with a very high battery life. 
Fire-Boltt SpO2 Full Touch 1.4 inch Smart Watch,Gadget,Nice smart watch... value for money
SanDisk Cruzer Blade 32GB USB Flash Drive,Gadget,Good product
Mi Smart Band 5,Gadget,m not very pleased to report that this one is being the most inaccurate in terms of step counting and also in sleep tracking.
Noise ColorFit Pulse Grand Smart Watch,Gadget,.the touch response is quite good...all the sensors work fine.
"HP X1000 Wired USB Mouse with 3 Handy Buttons,",Gadget,"SIMPLE AND THE BEST"""
Wayona Usb Type C Long Flash Fast Chargin ,Gadget,Super quality and packing
BESTOR® Portable LCD Writing Tablet,Gadget,"its fun ,you can write something, draw something, lock it, erase it ,best gadget"
Zebronics ZEB-KM2100,Gadget,It's very light weight keyboard and not for professional
HP v236w 64GB USB 2.0 Pen Drive,Gadget," working fine, no complaints so far."
Tie Dye T-Shirt for Women/Girls,Fashion,"Great t-shirt , as expected"
Lymio Women Knot Cuff Striped Top,Fashion,It's very beautiful with perfect fitting. 
Women Stylish Western Printed Top,Fashion,Good quality product. 
Men's Regular Polo Shirt,Fashion, Material is bit heavier than expected so not going to be good for hot summers
Men's Regular T-Shirt,Fashion,"Good product for the price,"
THE ARCHER Men's Cotton Multicolour Printed Vest,Fashion,Product is good. Soft and comfortable material. Fits well and as expected
"BAHAMAS
Men's Flip-Flops",Fashion,the flip flops are really very good comfortable. well gripped. the material is remarkable. it fits exactly. I am satisfied.
"TRASE
Women's Flip-Flops & Slippers",Fashion,Poor quality
"Bourge
Womens Micam-z52 Running Shoes",Fashion,Very comfortable and soft from inner foam
"Fostelo
Handbag",Fashion,good condition ....?? look stylish
Voltas 1.4 Ton 5 Star Inverter Adjustable Split AC ,Appliances,after three days there were no cooling 
LG 1.5 Ton 4 Star Inverter Split AC,Appliances,"This product Is awesome, Definitely Recommended to buy it"
LG 190 L 4 Star Inverter Direct-Cool Single Door Refrigerator,Appliances,"do not buy the product, it is not help to do anything, "
Godrej 185 L 4 Star Inverter Direct-Cool Single Door Refrigerator ,Appliances,his is best in segment refrigerator
Symphony Diet 12T Personal Tower Air Cooler,Appliances,There were so many negative reviews about this cooler..
Havells Freddo I Desert Air Cooler,Appliances,Very nice product..
Whirlpool 240 L Frost Free Multi-Door Refrigerator,Appliances,paying so much and you are selling these kind of defective product in the name of sale.
Whirlpool 330 L Frost Free Multi-Door Refrigerator,Appliances,I am not happy with product. Its faulty and need replacement.
Samsung 198 L 5 Star Inverter Direct-Cool Single Door Refrigerator ,Appliances,"Within 10 days of receiving product, the refrigerator stopped working"
Daikin 1.5 Ton 5 Star Inverter Split AC ,Appliances,the worst experience
Dettol Original Germ Protection Bathing Soap Bar,Cosmetics,Just in love with the quality Dettol provides. 
Pears Pure & Gentle Moisturising Bathing Bar Soap,Cosmetics,Very good product
NIVEA Men Body Wash,Cosmetics, I'm very happy to get this.Its very good body wash. 
Palmolive Aroma Absolute Relax Body Wash,Cosmetics,Its a very nice product and having a good scent. 
Santoor Aloe Fresh Soap ,Cosmetics,Santoor Aloe Fresh Soap Is No Value For Money
Mamaearth Onion Hair Fall Shampoo,Cosmetics,Worst shampoo ever..
Dove Hair Fall Rescue Shampoo,Cosmetics,This is an absolutely fake product 
Tresemme Hair Fall Defence Shampoo,Cosmetics,Don’t ever buy this product..Its pathetic to use this..
Maybelline New York Hypercurl Mascara,Cosmetics,Very bad
Swiss Beauty Ultimate 9 Pigmented colors Eyeshadow Palette,Cosmetics,such a gorgeous palette
YONEX Voltric Lite 25I Strung Badminton Racquet,Sports,Overall good product.
 Enamel Coated Cast Iron Kettlebell,Sports,"Weight is accurate.
The enamel coating is also very thorough."
Aurion Strong Synthetic Leather Punching Bag,Sports,the product is not worth the price and lacks durability.
Xpeed Printed Nylon Hand Wrap,Sports,No problem 
THE UNBEATABLE Boxing Headguard,Sports,Not good
Stag 2 Star Table Tennis Kit,Sports,I like this product very much because It is very lightweight and very comfort to play 
JBB Pool Ball Set -16 Balls ,Sports,the quality and constrution is good. 
Pool/Billiard cue Stick Stand Rack Set Black 6 Hole and Stand,Sports,I think it will harden and crack soon
Cable World® Mid-Sized Foosball Mini Football Table Soccer Game,Sports,Very good product with great quality.
PowerMax Fitness MFT-410 Manual Treadmill,Sports,"Economically,
Good build quality,"
MAXPRO MP 6066 Elliptical Cross Trainer,Sports,Overall great product.
Intern INT-GC01 One Handed Trigger Alloy Guitar Capo,Musical Instruments,The product is good.
"Juârez Acoustic Guitar,",Musical Instruments,The strings are not at all good quality
YAMAHA F280 Rose Wood Acoustic Guitar,Musical Instruments, Build quality is not good. 
YAMAHA PSR-F52 PORTABLE KEYBOARD,Musical Instruments,"Great quality hardware
Great quality sound"
 Casio CT-S200 Casiotone 61-Key Portable Keyboard,Musical Instruments,"Simply loved it.. the look, sound, features."
Boya BYM1 Omnidirectional Lavalier Condenser Microphone,Musical Instruments,My experience is very bad because this mic capture much background noise.
Zoook Karaoke Wired Microphone ,Musical Instruments,The mic is good and works well. 
Kadence Wanderer Series ukulele,Musical Instruments,The quality is excellent and the sound is alright.
Kala KA-15S Mahogany Soprano Ukulele,Musical Instruments,Voice and quality of product is astonishing.
"INTERN SOPRANO 21"" UKULELE",Musical Instruments,A great product for Ukulele players and also guitar players...Amazing finish and tone
Amazon Brand - Solimo Accord Chair,Furniture,Great comfort.
Solimo Trogir High Back Mesh Office Chair,Furniture,"The lumbar support is pathetic, and the handles seem too far apart."
Pazano Multipurpose Engineered Wood Finish Office Table Computer Desk ,Furniture,This is a good product at a good price. 
 Solimo Fame MDF Study Desk,Furniture,It's good for the price 
Wooden Wall Mount Folding Table,Furniture,the product is not worth the price and lacks durability.
DeckUp Plank Reno Engineered Wood Ladder Book Shelf,Furniture,Its a really nice addition to the home decor. 
DeckUp Muvo Engineered Wood Book Shelf,Furniture,The overall looks & size is just awesome..
Nilkamal Freedom Mini Medium Plastic Cabinet,Furniture,"Nice product, inner selves may be placed as per needs"
Supreme Fusion Multi Purpose Plastic Cupboard,Furniture,"Perfect, simple product which serves its purpose. "
HomeTown Albert Engineered Wood Office Storage Cabinet,Furniture,The quality of board looks very good.
Polyester 9.84 inches Duffle Gym Bag,Bags,overall quality of the bag is good.
Blacky Leatherette Gym Bag,Bags,got good enough space for gym
Fostelo Handbag ,Bags,"t was found that bad quality, "
jsm fashion Women's Handbag,Bags,Very good quality and quick delivery 
Safari Pentagon Polypropylene 55 cms Cyan Hardsided Cabin Luggage,Bags,I like the product but it is way too small
American Tourister Jamaica 80CM Wine RED Soft Suitcase,Bags,"Best product ever...
Totally satisfied.."
Kamiliant by American Tourister KAM Kiza Polypropylene 55 cms Ash Blue Hardsided Cabin Luggage,Bags,", the quality of the suitcase was good, Durable, light weight. "
POLESTAR Xplore 55 L Hiking/ Trekking/ Camping/ Travelling Rucksack,Bags,Product is very awesome in this price 
Hyper Adam 65 LTR Rucksack ,Bags,Don't buy this product it's waste of money.
Tripole Colonel Series Internal Frame Rucksack,Bags,Zips used are not of good quality.
War of Lanka,Books,very interesting book.
 Cold Justice ,Books,one of the best books I read 
When I Am With You,Books,Amazing Amazing!!
Mindf**ked : When It’s 4 a.m. and You Can’t Stop Overthinking,Books,"One of the best book for overthikers, in my whole life"
Family of Liars: The Prequel to We Were Liars,Books,Heartbreaking yet heartwarming.
The Lifestyle Investor,Books,"It is a resourceful guide, which will be extremely educational and useful for people. Totally recommended!"
VERITY ,Books,A bad book. Not recommended
Teen Machine,Books,Excellent book.
The Magicians of Mazda Paperback ,Books,the most interesting topics to write about
The Bad Guys #15: Open Wide And Say Arrrgh,Books, loves reading these book.
